,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
0,2818.0,1.0,True,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,2.0,1.0,2.0,4.0,49.0,3.0,28.0,True,3.0,4.0,4.47,True,24.5,147.0,0.08,0.1,0.14,0.99,0.20821917808219179,346.90410958904107
1,44391.0,0.6699999999999999,False,Centrum-Oost,52.37168,4.91471,Entire home/apt,4.0,2.0,2.0,1.0,240.0,3.0,730.0,True,0.0,0.0,4.71,False,60.0,720.0,0.09,0.17,0.29,4.99,0.0,1200.0
2,49552.0,0.92,True,Centrum-West,52.38028,4.89089,Entire home/apt,3.0,2.0,2.0,5.0,232.0,3.0,1125.0,True,0.0,8.0,4.91,False,77.33,696.0,0.1,0.25,0.25,4.99,0.46301369863013697,1162.4657534246576
3,55709.0,0.19000000000000006,False,Centrum-Oost,52.358112,4.897637,Entire home/apt,2.0,1.0,1.0,5.0,151.0,3.0,30.0,True,0.0,0.0,4.95,False,75.5,453.0,0.09,0.19,0.24,4.99,0.0027397260273972603,818.6849315068494
4,55868.0,0.0,False,Zuid,52.35597,4.88512,Entire home/apt,4.0,2.0,2.0,1.0,149.0,4.0,21.0,True,0.0,0.0,4.86,False,37.25,596.0,0.06,0.14,0.18,4.99,0.0,749.2191780821918
5,80635.0,0.87,True,Centrum-West,52.37828,4.8944,Private room,1.0,1.0,1.0,1.0,82.0,3.0,1125.0,True,0.0,0.0,4.77,True,82.0,246.0,0.05,0.11,0.15,4.99,0.0,409.24657534246575
6,97476.0,0.78,False,Zuid,52.35665,4.86363,Entire home/apt,2.0,1.0,1.0,10.0,115.0,14.0,30.0,True,0.0,0.0,4.89,False,57.5,1610.0,0.07,0.14,0.18,4.99,0.0,575.0
7,137026.0,0.14,False,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,4.0,2.0,4.0,11.0,265.0,2.0,1125.0,True,0.0,0.0,4.77,False,66.25,530.0,0.13,0.25,0.27,4.99,0.18904109589041096,1328.5205479452054
8,162467.0,0.46,False,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,2.0,1.0,1.0,4.0,175.0,3.0,21.0,True,0.0,0.0,4.75,False,87.5,525.0,0.06,0.14,0.19,4.99,0.4328767123287671,761.7123287671233
9,168769.0,0.65,True,Centrum-West,52.37956,4.89359,Private room,1.0,1.0,1.0,3.0,88.0,3.0,1124.0,True,0.0,0.0,4.58,True,88.0,264.0,0.04,0.07,0.18,4.99,0.0,439.24657534246575
10,169356.0,0.44000000000000006,False,Centrum-West,52.38104,4.88306,Entire home/apt,2.0,1.0,1.0,11.0,195.0,7.0,7.0,True,0.0,0.0,5.0,False,97.5,1365.0,0.06,0.13,0.21,4.99,0.1780821917808219,975.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,600.0
12,179528.0,1.0,False,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,3.0,2.0,2.0,10.0,270.0,21.0,100.0,True,6.0,0.0,4.5,True,90.0,5670.0,0.08,0.21,0.28,4.99,0.1506849315068493,1476.164383561644
13,188347.0,0.77,False,De Baarsjes - Oud-West,52.3683,4.85446,Private room,2.0,1.0,1.0,3.0,111.0,1.0,6.0,True,4.0,0.0,4.65,False,55.5,111.0,0.07,0.12,0.19,4.99,0.1178082191780822,481.64383561643837
14,193038.0,1.0,True,Centrum-Oost,52.36057,4.89671,Private room,2.0,1.0,1.0,4.0,121.0,3.0,31.0,True,2.0,5.0,4.96,True,60.5,363.0,0.07,0.15,0.18,4.99,0.2054794520547945,600.0
